"Story","Title","Result","Date","Stability","Duration (s)"
"Categories curd info","This will creat categories","SUCCESS","2022-06-05T17:22:25.974+01:00[Europe/London]","0.0","3.76"
"Categories curd info","This will fatch single category","SUCCESS","2022-06-05T17:22:29.769+01:00[Europe/London]","0.0","0.08"
"Categories curd info","This will update category","SUCCESS","2022-06-05T17:22:29.851+01:00[Europe/London]","0.0","0.07"
"Categories curd info","This will delete category","SUCCESS","2022-06-05T17:22:29.925+01:00[Europe/London]","0.0","0.17"
"Product curd test","this will creat new product ","SUCCESS","2022-06-05T17:22:25.974+01:00[Europe/London]","0.0","4.32"
"Product curd test","This will fatch the product by id ","SUCCESS","2022-06-05T17:22:30.324+01:00[Europe/London]","0.0","0.09"
"Product curd test","this will update  product ","SUCCESS","2022-06-05T17:22:30.411+01:00[Europe/London]","0.0","0.1"
"Product curd test","This will delete product ","SUCCESS","2022-06-05T17:22:30.512+01:00[Europe/London]","0.0","0.11"
"Service curd info","this will creat service0","SUCCESS","2022-06-05T17:22:31.676+01:00[Europe/London]","0.0","0.36"
"Service curd info","This will fath single service","SUCCESS","2022-06-05T17:22:32.036+01:00[Europe/London]","0.0","0.05"
"Service curd info","This will update service","SUCCESS","2022-06-05T17:22:32.091+01:00[Europe/London]","0.0","0.04"
"Service curd info","This will delete the service","SUCCESS","2022-06-05T17:22:32.136+01:00[Europe/London]","0.0","0.05"
"Store curd info","creat a store detail","SUCCESS","2022-06-05T17:22:32.219+01:00[Europe/London]","0.0","0.06"
"Store curd info","Get single store detail","SUCCESS","2022-06-05T17:22:32.279+01:00[Europe/London]","0.0","0.04"
"Store curd info","this will update store detail","SUCCESS","2022-06-05T17:22:32.323+01:00[Europe/London]","0.0","0.05"
"Store curd info","this will delet storedetail","SUCCESS","2022-06-05T17:22:32.375+01:00[Europe/London]","0.0","0.05"
