"Story","Title","Result","Date","Stability","Duration (s)"
"Categories curd info","This will creat categories","ERROR","2022-06-11T12:59:58.265+01:00[Europe/London]","0.0","9.95"
"Categories curd info","This will fatch single category","ERROR","2022-06-11T13:00:08.354+01:00[Europe/London]","0.0","4.11"
"Categories curd info","This will update category","ERROR","2022-06-11T13:00:12.472+01:00[Europe/London]","0.0","4.07"
"Categories curd info","This will delete category","ERROR","2022-06-11T13:00:16.547+01:00[Europe/London]","0.0","4.09"
"Product curd test","this will creat new product ","ERROR","2022-06-11T13:00:21.708+01:00[Europe/London]","0.0","4.14"
"Product curd test","This will fatch the product by id ","ERROR","2022-06-11T13:00:25.847+01:00[Europe/London]","0.0","4.12"
"Product curd test","this will update  product ","ERROR","2022-06-11T13:00:29.967+01:00[Europe/London]","0.0","4.12"
"Product curd test","This will delete product ","ERROR","2022-06-11T13:00:34.094+01:00[Europe/London]","0.0","4.08"
"Service curd info","this will creat service0","ERROR","2022-06-11T13:00:38.317+01:00[Europe/London]","0.0","4.11"
"Service curd info","This will fath single service","ERROR","2022-06-11T13:00:42.433+01:00[Europe/London]","0.0","4.09"
"Service curd info","This will update service","ERROR","2022-06-11T13:00:46.528+01:00[Europe/London]","0.0","4.06"
"Service curd info","This will delete the service","ERROR","2022-06-11T13:00:50.594+01:00[Europe/London]","0.0","4.1"
"Store curd info","creat a store detail","ERROR","2022-06-11T13:00:54.772+01:00[Europe/London]","0.0","4.1"
"Store curd info","Get single store detail","ERROR","2022-06-11T13:00:58.870+01:00[Europe/London]","0.0","4.06"
"Store curd info","this will update store detail","ERROR","2022-06-11T13:01:02.932+01:00[Europe/London]","0.0","4.09"
"Store curd info","this will delet storedetail","ERROR","2022-06-11T13:01:07.020+01:00[Europe/London]","0.0","4.09"
